"Response","Method","Predictor","Estimate","P","Bonferroni","Bonferroni_observedData","Sign_agreement"
"SM (OH) C22:1","LEOPARD","age",0.0150520428006962,7.80743836983261e-05,TRUE,"Non-significant in observed data","Matching sign"
"SM (OH) C22:2","LEOPARD","age",0.0110638935649408,0.00253504429418264,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C24:1","LEOPARD","age",0.0149746128485038,0.00010617186669886,TRUE,"Non-significant in observed data","Matching sign"
"SM C16:0","LEOPARD","age",0.0139481545069697,0.00030477820821038,TRUE,"Non-significant in observed data","Matching sign"
"SM C16:1","LEOPARD","age",0.0177654197487147,2.90420236554133e-06,TRUE,"Non-significant in observed data","Matching sign"
"SM C18:0","LEOPARD","age",0.0167403725356549,1.0734346534798e-05,TRUE,"Non-significant in observed data","Matching sign"
"SM C18:1","LEOPARD","age",0.0180569738713999,1.00733524085906e-06,TRUE,"Non-significant in observed data","Matching sign"
"SM C20:2","LEOPARD","age",-0.00305477094184074,0.407776291515564,FALSE,"Non-significant in observed data","Opposite sign"
"SM C24:1","LEOPARD","age",0.0169284866808566,9.79941923258492e-06,TRUE,"Non-significant in observed data","Matching sign"
"Thr","LEOPARD","age",-0.0148560597873227,0.00021245668583619,TRUE,"Non-significant in observed data","Matching sign"
"Tyr","LEOPARD","age",0.00907501319865823,0.0141319939953938,FALSE,"Non-significant in observed data","Matching sign"
"Val","LEOPARD","age",0.019113189679008,3.94656262428998e-07,TRUE,"Non-significant in observed data","Opposite sign"
"Arg","cGAN","age",0.00299271426684191,0.458574853443832,FALSE,"Non-significant in observed data","Matching sign"
"C0","cGAN","age",0.00048159492444732,0.903251057599862,FALSE,"Significant in observed data","Matching sign"
"C10","cGAN","age",0.00314804635821042,0.421367568138783,FALSE,"Significant in observed data","Matching sign"
"C12","cGAN","age",0.00443426400246711,0.263009604726424,FALSE,"Significant in observed data","Matching sign"
"C14:1","cGAN","age",0.00877407541121853,0.0296386998709297,FALSE,"Significant in observed data","Matching sign"
"C14:1-OH","cGAN","age",0.00446621660570266,0.264453069288457,FALSE,"Significant in observed data","Matching sign"
"C14:2","cGAN","age",0.00311124829977884,0.432284406933318,FALSE,"Significant in observed data","Matching sign"
"C16","cGAN","age",0.0104354305707421,0.00932426479210062,FALSE,"Significant in observed data","Matching sign"
"C16:2","cGAN","age",0.00484379718699786,0.226658478002647,FALSE,"Significant in observed data","Matching sign"
"C18","cGAN","age",0.00731086034822476,0.069220709655151,FALSE,"Significant in observed data","Matching sign"
"C18:1","cGAN","age",0.00554287439046606,0.170552390721964,FALSE,"Significant in observed data","Matching sign"
"C18:2","cGAN","age",0.00403549583222702,0.317956508562417,FALSE,"Significant in observed data","Matching sign"
"C2","cGAN","age",0.00387614211739945,0.336266253674043,FALSE,"Significant in observed data","Matching sign"
"C3","cGAN","age",0.00087191441730293,0.827309825619236,FALSE,"Significant in observed data","Matching sign"
"C4","cGAN","age",0.00058338843910285,0.884238387834689,FALSE,"Significant in observed data","Matching sign"
"C5","cGAN","age",0.00029901062471091,0.938027850443562,FALSE,"Significant in observed data","Matching sign"
"Gly","cGAN","age",-0.00135764160712669,0.735637834602008,FALSE,"Non-significant in observed data","Opposite sign"
"H1","cGAN","age",0.00626242043431266,0.121515589529615,FALSE,"Significant in observed data","Matching sign"
"Met","cGAN","age",0.00081900678108773,0.839500283291838,FALSE,"Non-significant in observed data","Opposite sign"
"Orn","cGAN","age",0.0104837622800468,0.00934219408523771,FALSE,"Significant in observed data","Matching sign"
"Pro","cGAN","age",0.00284726857164065,0.481846292205158,FALSE,"Non-significant in observed data","Matching sign"
"Ser","cGAN","age",-0.00140814604626746,0.723680467709932,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C14:1","cGAN","age",0.0102331714630959,0.00838034803728472,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C16:1","cGAN","age",0.00894547927206246,0.0190167484822921,FALSE,"Significant in observed data","Matching sign"
"SM (OH) C22:1","cGAN","age",0.00681688485459143,0.0791117359970378,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C22:2","cGAN","age",0.00605094209503049,0.114165897702255,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C24:1","cGAN","age",0.00629142602729587,0.107596362170731,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:0","cGAN","age",0.00410414016344124,0.300128995024596,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:1","cGAN","age",0.00818361920967899,0.0352370712037707,FALSE,"Non-significant in observed data","Matching sign"
"SM C18:0","cGAN","age",0.00955490917686222,0.0129737115002882,FALSE,"Non-significant in observed data","Matching sign"
"SM C18:1","cGAN","age",0.00460249190951084,0.228650662694353,FALSE,"Non-significant in observed data","Matching sign"
"SM C20:2","cGAN","age",0.0020295472883063,0.595129290121603,FALSE,"Non-significant in observed data","Matching sign"
"SM C24:1","cGAN","age",-0.00149173319150981,0.709512658176878,FALSE,"Non-significant in observed data","Opposite sign"
"Thr","cGAN","age",-0.00305102766670056,0.450486841807618,FALSE,"Non-significant in observed data","Matching sign"
"Tyr","cGAN","age",0.00925108744517756,0.0218922253286362,FALSE,"Non-significant in observed data","Matching sign"
"Val","cGAN","age",0.00343972367363749,0.389407571371052,FALSE,"Non-significant in observed data","Opposite sign"
"Arg","missForest","age",9.84027720747744e-05,0.97991451914286,FALSE,"Non-significant in observed data","Matching sign"
"C0","missForest","age",-0.00146223740985266,0.709923279450659,FALSE,"Significant in observed data","Opposite sign"
"C10","missForest","age",-0.00092450884027804,0.818666077444974,FALSE,"Significant in observed data","Opposite sign"
"C12","missForest","age",-0.00037671058351855,0.925411653527559,FALSE,"Significant in observed data","Opposite sign"
"C14:1","missForest","age",0.00655438107267697,0.104615566565369,FALSE,"Significant in observed data","Matching sign"
"C14:1-OH","missForest","age",0.00208408334672121,0.604822548455351,FALSE,"Significant in observed data","Matching sign"
"C14:2","missForest","age",-0.00237851649260373,0.554646471731036,FALSE,"Significant in observed data","Opposite sign"
"C16","missForest","age",0.00161645695651538,0.684815181781751,FALSE,"Significant in observed data","Matching sign"
"C16:2","missForest","age",-0.00092304365932537,0.818403559816093,FALSE,"Significant in observed data","Opposite sign"
"C18","missForest","age",-0.00635586446669923,0.107049082604601,FALSE,"Significant in observed data","Opposite sign"
"C18:1","missForest","age",0.0013355740183802,0.736749951482547,FALSE,"Significant in observed data","Matching sign"
"C18:2","missForest","age",-0.00503862028572486,0.207217485358176,FALSE,"Significant in observed data","Opposite sign"
"C2","missForest","age",0.00281790550623265,0.484486920795448,FALSE,"Significant in observed data","Matching sign"
"C3","missForest","age",0.00036410838076022,0.927338433063678,FALSE,"Significant in observed data","Matching sign"
"C4","missForest","age",0.00132113399369558,0.743083939307912,FALSE,"Significant in observed data","Matching sign"
"C5","missForest","age",-0.00145416898827237,0.712390836147582,FALSE,"Significant in observed data","Opposite sign"
"Gly","missForest","age",-0.00564518237559398,0.154143326998619,FALSE,"Non-significant in observed data","Opposite sign"
"H1","missForest","age",0.00295823364172565,0.457633967605971,FALSE,"Significant in observed data","Matching sign"
"Met","missForest","age",0.00239417427043479,0.554142097981369,FALSE,"Non-significant in observed data","Opposite sign"
"Orn","missForest","age",0.00264134099403187,0.513600492515595,FALSE,"Significant in observed data","Matching sign"
"Pro","missForest","age",-0.00706830122183634,0.0723906932166122,FALSE,"Non-significant in observed data","Opposite sign"
"Ser","missForest","age",-0.00659722820659306,0.102580462017411,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C14:1","missForest","age",0.0111555141895681,0.00383448813418501,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C16:1","missForest","age",0.0124140891398157,0.0011714183579075,TRUE,"Significant in observed data","Matching sign"
"SM (OH) C22:1","missForest","age",0.0120210355883789,0.0018719731858929,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C22:2","missForest","age",0.0113509975000963,0.003100927724155,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C24:1","missForest","age",0.0115066031411393,0.00307546275651424,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:0","missForest","age",0.00494590282724577,0.213142648948483,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:1","missForest","age",0.00954097831226981,0.0146961106638041,FALSE,"Non-significant in observed data","Matching sign"
"SM C18:0","missForest","age",0.0133165667448511,0.00068048896142054,TRUE,"Non-significant in observed data","Matching sign"
"SM C18:1","missForest","age",0.0133877447114828,0.00058601795879405,TRUE,"Non-significant in observed data","Matching sign"
"SM C20:2","missForest","age",0.0068405934903722,0.0769494542459697,FALSE,"Non-significant in observed data","Matching sign"
"SM C24:1","missForest","age",0.00633672947729399,0.114843109537352,FALSE,"Non-significant in observed data","Matching sign"
"Thr","missForest","age",-0.00585347249997913,0.147329841215805,FALSE,"Non-significant in observed data","Matching sign"
"Tyr","missForest","age",0.00068012390758893,0.86606362604341,FALSE,"Non-significant in observed data","Matching sign"
"Val","missForest","age",-0.00063082976916791,0.873905020262499,FALSE,"Non-significant in observed data","Matching sign"
"Arg","PMM","age",-0.0022813643728608,0.720212211289957,FALSE,"Non-significant in observed data","Opposite sign"
"C0","PMM","age",-0.00119342957416931,0.788989402596012,FALSE,"Significant in observed data","Opposite sign"
"C10","PMM","age",-0.00012742461903729,0.982423683968973,FALSE,"Significant in observed data","Opposite sign"
"C12","PMM","age",0.00093889955960037,0.854692902860397,FALSE,"Significant in observed data","Matching sign"
"C14:1","PMM","age",0.00238133563687707,0.604811210342926,FALSE,"Significant in observed data","Matching sign"
"C14:1-OH","PMM","age",0.00073048890692993,0.93180042201172,FALSE,"Significant in observed data","Matching sign"
"C14:2","PMM","age",0.00140524338431434,0.795571595995444,FALSE,"Significant in observed data","Matching sign"
"C16","PMM","age",0.00469427026770033,0.265055573416236,FALSE,"Significant in observed data","Matching sign"
"C16:2","PMM","age",-0.00106411266386455,0.884376670973503,FALSE,"Significant in observed data","Opposite sign"
"C18","PMM","age",0.00693421017849234,0.133869589316761,FALSE,"Significant in observed data","Matching sign"
"C18:1","PMM","age",0.00708820396540042,0.110656317917815,FALSE,"Significant in observed data","Matching sign"
"C18:2","PMM","age",0.00408316736681934,0.449362616397804,FALSE,"Significant in observed data","Matching sign"
"C2","PMM","age",0.00638143261045319,0.13090285810795,FALSE,"Significant in observed data","Matching sign"
"C3","PMM","age",0.00040400939153981,0.947629401421254,FALSE,"Significant in observed data","Matching sign"
"C4","PMM","age",-0.00214092544753937,0.659747799526278,FALSE,"Significant in observed data","Opposite sign"
"C5","PMM","age",-0.00469960259431951,0.49365135734917,FALSE,"Significant in observed data","Opposite sign"
"Gly","PMM","age",-0.00368404142274181,0.397513328232603,FALSE,"Non-significant in observed data","Opposite sign"
"H1","PMM","age",0.00114075701657095,0.868555199641438,FALSE,"Significant in observed data","Matching sign"
"Met","PMM","age",-0.00768805531415038,0.224548932787977,FALSE,"Non-significant in observed data","Matching sign"
"Orn","PMM","age",0.00327700487118963,0.612759445366647,FALSE,"Significant in observed data","Matching sign"
"Pro","PMM","age",-0.00105259741891895,0.879524011877719,FALSE,"Non-significant in observed data","Opposite sign"
"Ser","PMM","age",-0.00494118119127115,0.38760991676329,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C14:1","PMM","age",0.00701838388980983,0.116113626002197,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C16:1","PMM","age",0.0126239823769812,0.0309498743170318,FALSE,"Significant in observed data","Matching sign"
"SM (OH) C22:1","PMM","age",-0.00098434796152548,0.863477190702698,FALSE,"Non-significant in observed data","Opposite sign"
"SM (OH) C22:2","PMM","age",-0.00143337330881751,0.780905945163685,FALSE,"Non-significant in observed data","Opposite sign"
"SM (OH) C24:1","PMM","age",0.0040532853523811,0.515790194283494,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:0","PMM","age",0.00127682142465048,0.788948852256142,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:1","PMM","age",0.00209426673190419,0.659479320032083,FALSE,"Non-significant in observed data","Matching sign"
"SM C18:0","PMM","age",0.00680239090430004,0.310193890770094,FALSE,"Non-significant in observed data","Matching sign"
"SM C18:1","PMM","age",0.00301714040316014,0.493681499825791,FALSE,"Non-significant in observed data","Matching sign"
"SM C20:2","PMM","age",0.00433960692990629,0.390029546791934,FALSE,"Non-significant in observed data","Matching sign"
"SM C24:1","PMM","age",0.00063538161879107,0.90886666913598,FALSE,"Non-significant in observed data","Matching sign"
"Thr","PMM","age",-0.00807064102184244,0.353613968018618,FALSE,"Non-significant in observed data","Matching sign"
"Tyr","PMM","age",-0.00185497817508659,0.79839302954553,FALSE,"Non-significant in observed data","Opposite sign"
"Val","PMM","age",-0.00320678228792845,0.701096773132731,FALSE,"Non-significant in observed data","Matching sign"
"Arg","GLMM","age",0.00098200623338622,0.867176776526578,FALSE,"Non-significant in observed data","Matching sign"
"C0","GLMM","age",0.00187231587328252,0.700117025360734,FALSE,"Significant in observed data","Matching sign"
"C10","GLMM","age",-0.00212891099753425,0.733679571604456,FALSE,"Significant in observed data","Opposite sign"
"C12","GLMM","age",-0.00367582774395837,0.514218558840692,FALSE,"Significant in observed data","Opposite sign"
"C14:1","GLMM","age",-0.00226355017700018,0.65253927769655,FALSE,"Significant in observed data","Opposite sign"
"C14:1-OH","GLMM","age",0.00047596487175625,0.932580162539296,FALSE,"Significant in observed data","Matching sign"
"C14:2","GLMM","age",-0.00217062150505042,0.714908807247016,FALSE,"Significant in observed data","Opposite sign"
"C16","GLMM","age",0.00138027340074206,0.807639346916216,FALSE,"Significant in observed data","Matching sign"
"C16:2","GLMM","age",0.00140660538046741,0.771360775275615,FALSE,"Significant in observed data","Matching sign"
"C18","GLMM","age",0.00502814579937545,0.281989215332758,FALSE,"Significant in observed data","Matching sign"
"C18:1","GLMM","age",0.00424960730346176,0.461516111809216,FALSE,"Significant in observed data","Matching sign"
"C18:2","GLMM","age",0.00265592043309599,0.691926675993586,FALSE,"Significant in observed data","Matching sign"
"C2","GLMM","age",0.00388379417062018,0.453466627789334,FALSE,"Significant in observed data","Matching sign"
"C3","GLMM","age",0.00326860613874472,0.574259521489658,FALSE,"Significant in observed data","Matching sign"
"C4","GLMM","age",0.00074521306064068,0.904641881449938,FALSE,"Significant in observed data","Matching sign"
"C5","GLMM","age",0.00059245650120205,0.915103790531446,FALSE,"Significant in observed data","Matching sign"
"Gly","GLMM","age",-0.00216781835675911,0.739097706302017,FALSE,"Non-significant in observed data","Opposite sign"
"H1","GLMM","age",-0.0002505612072323,0.970178498694218,FALSE,"Significant in observed data","Opposite sign"
"Met","GLMM","age",-0.00198662665106345,0.788946266905676,FALSE,"Non-significant in observed data","Matching sign"
"Orn","GLMM","age",-1.2464068778377e-05,0.998254770637657,FALSE,"Significant in observed data","Opposite sign"
"Pro","GLMM","age",0.0050275238024092,0.270903197006148,FALSE,"Non-significant in observed data","Matching sign"
"Ser","GLMM","age",-0.00433315165706531,0.448417758874458,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C14:1","GLMM","age",0.00892792859967873,0.0285683185140475,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C16:1","GLMM","age",0.0114271185312253,0.00805435787013176,FALSE,"Significant in observed data","Matching sign"
"SM (OH) C22:1","GLMM","age",-0.00125727556256927,0.783431531698517,FALSE,"Non-significant in observed data","Opposite sign"
"SM (OH) C22:2","GLMM","age",0.00146091805298305,0.774172816620509,FALSE,"Non-significant in observed data","Matching sign"
"SM (OH) C24:1","GLMM","age",0.00187977799429753,0.669179239429014,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:0","GLMM","age",0.0021463612469863,0.639872320967924,FALSE,"Non-significant in observed data","Matching sign"
"SM C16:1","GLMM","age",0.00251906966465821,0.706726892323471,FALSE,"Non-significant in observed data","Matching sign"
"SM C18:0","GLMM","age",0.00388117952271183,0.395523043925395,FALSE,"Non-significant in observed data","Matching sign"
"SM C18:1","GLMM","age",0.00154311890553654,0.788261192692841,FALSE,"Non-significant in observed data","Matching sign"
"SM C20:2","GLMM","age",0.00274393930160549,0.544121248256243,FALSE,"Non-significant in observed data","Matching sign"
"SM C24:1","GLMM","age",0.00070533663675519,0.898083796234981,FALSE,"Non-significant in observed data","Matching sign"
"Thr","GLMM","age",-0.00631503210689705,0.197617510823611,FALSE,"Non-significant in observed data","Matching sign"
"Tyr","GLMM","age",0.00084225208543048,0.894000923899785,FALSE,"Non-significant in observed data","Matching sign"
"Val","GLMM","age",0.00062267468298599,0.925790595915474,FALSE,"Non-significant in observed data","Opposite sign"
